color;director_name;num_critic_for_reviews;duration;director_facebook_likes;actor_3_facebook_likes;actor_2_name;actor_1_facebook_likes;gross;genres;actor_1_name;movie_title;num_voted_users;cast_total_facebook_likes;actor_3_name;facenumber_in_poster;plot_keywords;movie_imdb_link;num_user_for_reviews;language;country;content_rating;budget;title_year;actor_2_facebook_likes;imdb_score_orig;aspect_ratio;movie_facebook_likes;Title;Year;content_rating_omdb;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Awards;Poster;Ratings;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;totalSeasons;Season;Episode;seriesID;Source_Currency
Color;Phil Lord;330.0;112.0;97.0;584.0;Craig Roberts;584.0;191616238.0;Action|Comedy|Crime;Channing Tatum;22 Jump Street ;258186.0;19428.0;Amber Stevens West;2.0;college|drugs|hidden camera|tattoo|undercover;http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1;322.0;English;USA;R;50000000.0;2014;920.0;7.1;2.35;24000.0;22 Jump Street;2014;R;13/06/2014;112 min;Action, Comedy, Crime;Phil Lord, Christopher Miller;Michael Bacall, Oren Uziel, Rodney Rothman;Channing Tatum, Jonah Hill, Ice Cube;after making their way through high school (twice), big changes are in store for officers schmidt and jenko when they go deep undercover at a local college.;English, Spanish, Ukrainian;United States;7 wins & 25 nominations total;https://m.media-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '71/100'}];71.0;7.0;429225;tt2294449;movie;;191719337.0;;;True;;;;;
Color;Betty Thomas;116.0;103.0;84.0;664.0;Viggo Mortensen;664.0;37035515.0;Comedy|Drama;Steve Buscemi;28 Days ;34597.0;23864.0;Elizabeth Perkins;1.0;12 step program|box office hit|car accident|vomiting|wedding;http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1;194.0;English;USA;PG-13;43000000.0;2000;10000.0;6.0;1.37;0.0;28 Days;2000;PG-13;14/04/2000;103 min;Comedy, Drama;Betty Thomas;Susannah Grant;Sandra Bullock, Viggo Mortensen, Dominic West;a big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.;English;United States;1 win total;https://m.media-amazon.com/images/M/MV5BOTA3NmQ4YzMtMWZiNC00MzYyLWExMTctZmIxZDE4ZjU0ODM5XkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '46/100'}];46.0;6.1;56391;tt0191754;movie;;37170488.0;;;True;;;;;
Color;James Mangold;295.0;122.0;446.0;600.0;Logan Lerman;600.0;53574088.0;Adventure|Crime|Drama|Western;Christian Bale;3:10 to Yuma ;237872.0;33548.0;Gretchen Mol;1.0;outlaw|rancher|small western town|stagecoach|train;http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1;560.0;English;USA;R;55000000.0;2007;8000.0;7.8;2.35;0.0;3:10 to Yuma;2007;R;07/09/2007;122 min;Action, Crime, Drama;James Mangold;Halsted Welles, Michael Brandt, Derek Haas;Russell Crowe, Christian Bale, Ben Foster;a small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in yuma. a battle of wills ensues as the outlaw tries to psych out the rancher.;English, Chinese;United States;Nominated for 2 Oscars. 3 wins & 32 nominations total;https://m.media-amazon.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}];76.0;7.6;342944;tt0381849;movie;;53606916.0;;;True;;;;;
Color;Noam Murro;366.0;102.0;263.0;1000.0;Sullivan Stapleton;1000.0;106369117.0;Action|Drama|Fantasy|War;Eva Green;300: Rise of an Empire ;225273.0;10583.0;Peter Mensah;0.0;army|commander|female rear nudity|greek|navy;http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1;523.0;English;USA;R;110000000.0;2014;1000.0;6.2;2.35;71000.0;300: Rise of an Empire;2014;R;07/03/2014;102 min;Action, Drama;Noam Murro;Zack Snyder, Kurt Johnstad, Frank Miller;Sullivan Stapleton, Eva Green, Lena Headey;greek general themistocles of athens leads the naval charge against invading persian forces led by mortal-turned-god xerxes and artemisia, vengeful commander of the persian navy.;English;United States, Bulgaria;2 wins & 7 nominations total;https://m.media-amazon.com/images/M/MV5BMTEwNTU2MjAwMDdeQTJeQWpwZ15BbWU3MDk2Njc2Njk@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '48/100'}];48.0;6.2;326466;tt1253863;movie;;106580051.0;;;True;;;;;
Color;Demian Lichtenstein;113.0;125.0;11.0;867.0;Bokeem Woodbine;867.0;15738632.0;Action|Comedy|Crime|Thriller;Jon Lovitz;3000 Miles to Graceland ;38076.0;14536.0;Ice-T;2.0;casino|elvis impersonator|gun|heist|rascal;http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1;399.0;English;USA;R;42000000.0;2001;904.0;5.9;2.35;0.0;3000 Miles to Graceland;2001;R;23/02/2001;125 min;Action, Comedy, Crime;Demian Lichtenstein;Richard Recco, Demian Lichtenstein, Kevin Bernhardt;Kurt Russell, Kevin Costner, Courteney Cox;a gang of ex-cons rob a casino during elvis convention week.;English;United States, Canada;13 nominations total;https://m.media-amazon.com/images/M/MV5BMTExMDA0NDAyOTReQTJeQWpwZ15BbWU2MDM4ODg3OQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '21/100'}];21.0;6.0;50389;tt0233142;movie;;15749959.0;;;True;;;;;
Color;Zack Snyder;460.0;117.0;0.0;447.0;Michael Fassbender;447.0;210592590.0;Action|Drama|Fantasy|War;Gerard Butler;300 ;607235.0;32360.0;Vincent Regan;0.0;battle|epic|greece|spartan|warrior;http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1;2073.0;English;USA;R;65000000.0;2006;13000.0;7.7;2.35;13000.0;300;2006;R;09/03/2007;117 min;Action, Drama;Zack Snyder;Zack Snyder, Kurt Johnstad, Michael B. Gordon;Gerard Butler, Lena Headey, David Wenham;in the ancient battle of thermopylae, king leonidas and 300 spartans fight against xerxes and his massive persian army.;English;United States, Canada, Bulgaria;19 wins & 57 nominations total;https://m.media-amazon.com/images/M/MV5BMjc4OTc0ODgwNV5BMl5BanBnXkFtZTcwNjM1ODE0MQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '52/100'}];52.0;7.6;897606;tt0416449;movie;;210629101.0;;;True;;;;;
Color;Brian Helgeland;216.0;128.0;241.0;898.0;Christopher Meloni;898.0;95001343.0;Biography|Drama|Sport;Harrison Ford;42 ;66511.0;16911.0;Nicole Beharie;0.0;baseball|baseball player|brooklyn dodgers|major league baseball|racism;http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1;200.0;English;USA;PG-13;40000000.0;2013;3000.0;7.5;2.35;28000.0;42;2013;PG-13;12/04/2013;128 min;Biography, Drama, Sport;Brian Helgeland;Brian Helgeland;Chadwick Boseman, T.R. Knight, Harrison Ford;in 1947, jackie robinson becomes the first african-american to play in major league baseball in the modern era when he was signed by the brooklyn dodgers and faces considerable racism in the process.;English;United States;3 wins & 21 nominations total;https://m.media-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}];62.0;7.5;106903;tt0453562;movie;;95059709.0;;;True;;;;;
Color;Carl Rinsch;218.0;128.0;47.0;982.0;Cary-Hiroyuki Tagawa;982.0;38297305.0;Action|Adventure|Drama|Fantasy;Keanu Reeves;47 Ronin ;116994.0;20965.0;Jin Akanishi;2.0;box office flop|ronin|samurai|shogun|tournament;http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1;324.0;English;USA;PG-13;175000000.0;2013;1000.0;6.3;2.35;35000.0;47 Ronin;2013;PG-13;25/12/2013;128 min;Action, Drama, Fantasy;Carl Rinsch;Chris Morgan, Hossein Amini, Walter Hamada;Keanu Reeves, Hiroyuki Sanada, Kô Shibasaki;a band of samurai sets out to avenge the death and dishonor of their master at the hands of a ruthless shogun.;English, Japanese;United States, Japan;5 nominations total;https://m.media-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '28/100'}];28.0;6.2;177381;tt1335975;movie;;38362475.0;;;True;;;;;
Color;Peter Segal;147.0;99.0;88.0;328.0;Peter Dante;328.0;120776832.0;Comedy|Romance;Adam Sandler;50 First Dates ;266103.0;12952.0;Allen Covert;2.0;dream|hawaii|hawaiian shirt|short term memory loss|veterinarian;http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1;456.0;English;USA;PG-13;75000000.0;2004;427.0;6.8;2.35;11000.0;50 First Dates;2004;PG-13;13/02/2004;99 min;Comedy, Drama, Romance;Peter Segal;George Wing;Adam Sandler, Drew Barrymore, Rob Schneider;henry roth is a man afraid of commitment until he meets the beautiful lucy. they hit it off and henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.;English, Hawaiian, Mandarin;United States;6 wins & 10 nominations total;https://m.media-amazon.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '48/100'}];48.0;6.8;405967;tt0343660;movie;;120908074.0;;;True;;;;;
Color;Curtis Hanson;119.0;110.0;161.0;196.0;Omar Benson Miller;196.0;116724075.0;Drama|Music;Mekhi Phifer;8 Mile ;187181.0;1954.0;Evan Jones;0.0;competition|contest|friend|self expression|white rapper;http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1;564.0;English;USA;R;41000000.0;2002;418.0;7.0;2.35;0.0;8 Mile;2002;R;08/11/2002;;Drama, Music;Curtis Hanson;Scott Silver;Eminem, Brittany Murphy, Kim Basinger;follows a young rapper in the detroit area, struggling with every aspect of his life;;;;;;;;;;;;;;;;;;;;
Color;Ron Howard;205.0;135.0;2000.0;535.0;Austin Pendleton;535.0;170708996.0;Biography|Drama;Adam Goldberg;A Beautiful Mind ;610568.0;2827.0;Judd Hirsch;0.0;conspiracy|cryptography|mathematician|mental illness|nobel prize;http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1;1171.0;English;USA;PG-13;58000000.0;2001;592.0;8.2;1.85;29000.0;A Beautiful Mind;2001;PG-13;04/01/2002;135 min;Biography, Drama, Mystery;Ron Howard;Akiva Goldsman, Sylvia Nasar;Russell Crowe, Ed Harris, Jennifer Connelly;a mathematical genius, john nash made an astonishing discovery early in his career and stood on the brink of international acclaim. but the handsome and arrogant nash soon found himself on a harrowing journey of self-discovery.;English;United States;Won 4 Oscars. 37 wins & 69 nominations total;https://m.media-amazon.com/images/M/MV5BNzljZTk5ZDgtZTQ1Zi00NTM4LThlOGUtZDk2MGM4NDQ4NWQyXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '72/100'}];72.0;8.2;1027740;tt0268978;movie;;170742341.0;;;True;;;;;
Color;John Lasseter;117.0;95.0;487.0;1000.0;Madeline Kahn;1000.0;162792677.0;Adventure|Animation|Comedy|Family|Fantasy;Kevin Spacey;A Bug's Life ;211226.0;24205.0;John Ratzenberger;0.0;ant|circus|grasshopper|misunderstanding|overhearing;http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1;317.0;English;USA;G;120000000.0;1998;1000.0;7.2;2.35;0.0;A Bug's Life;1998;G;25/11/1998;95 min;Animation, Adventure, Comedy;John Lasseter, Andrew Stanton;John Lasseter, Andrew Stanton, Joe Ranft;Kevin Spacey, Dave Foley, Julia Louis-Dreyfus;"a misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.";English;United States;Nominated for 1 Oscar. 14 wins & 21 nominations total;https://m.media-amazon.com/images/M/MV5BNGI3Mjc1ZjUtYTJhYS00NjBiLTgyYjctODU5NTNlMWJiYjYzXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}];78.0;7.2;331897;tt0120623;movie;;162798565.0;;;True;;;;;
Color;Robert Zemeckis;240.0;96.0;0.0;10000.0;Colin Firth;10000.0;137850096.0;Animation|Drama|Family|Fantasy;Robin Wright;A Christmas Carol ;72809.0;48878.0;Gary Oldman;0.0;charles dickens|christmas|christmas eve|ghost|scrooge;http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1;249.0;English;USA;PG;200000000.0;2009;14000.0;6.8;2.35;0.0;A Christmas Carol;2009;PG;06/11/2009;96 min;Animation, Adventure, Comedy;Robert Zemeckis;Charles Dickens, Robert Zemeckis;Jim Carrey, Gary Oldman, Colin Firth;ebenezer scrooge, a miserly old moneylender, is visited by three christmas spirits on christmas eve. scrooge embarks on a journey of self-redemption to mend his miserly ways;English;United States;3 wins & 5 nominations total;https://m.media-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '55/100'}];55.0;6.8;136559;tt1067106;movie;;137855863.0;;;True;;;;;
Color;Steven Zaillian;110.0;115.0;234.0;521.0;Kathleen Quinlan;521.0;56702901.0;Drama;Robert Duvall;A Civil Action ;23302.0;4713.0;Sydney Pollack;1.0;1980s|law firm|lawsuit|lawyer|toxic waste;http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1;181.0;English;USA;PG-13;60000000.0;1998;552.0;6.5;2.35;1000.0;A Civil Action;1998;PG-13;08/01/1999;115 min;Biography, Drama;Steven Zaillian;Jonathan Harr, Steven Zaillian;John Travolta, Robert Duvall, Tony Shalhoub;at the risk of bankrupting his firm and career, lawyer jan schlichtman takes on a case involving two companies responsible for causing children to be diagnosed with leukemia due to the town's contaminated water supply.;English;United States;Nominated for 2 Oscars. 5 wins & 10 nominations total;https://m.media-amazon.com/images/M/MV5BMDgyNDNkYTMtYmU0NC00YjliLWFhNjgtMmFhOTQ1MmE4NzNmXkEyXkFqcGc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '68/100'}];68.0;6.6;32240;tt0120633;movie;;56709981.0;;;True;;;;;
